rollout,timesteps,reward_area,reward_tv_i,reward_tv_g,reward_coll,reward_const,reward_turn,reward_overlap,reward_total,coverage_ratio,collision,action_override_rate,episode_done_count,episode_final_coverage_ratio,episode_final_collision,episode_final_steps
1.0,128.0,0.5,-0.2070733081549406,0.0,0.0,-0.10000000000000002,-0.037500000000000006,-0.049999999999999996,0.10542669184505937,0.03495975855130784,0.0,0.0078125,0.0,,,
2.0,256.0,0.3046875,-0.06142768114805222,0.0,0.0,-0.10000000000000002,-0.036718749999999994,-0.06953124999999999,0.037009818851947776,0.0810173541247485,0.0,0.03125,0.0,,,
3.0,384.0,0.25,-0.04679647982120514,0.0,0.0,-0.10000000000000002,-0.02578125,-0.075,0.0024222701787948607,0.1217146629778672,0.0,0.140625,0.0,,,
4.0,512.0,0.296875,-0.03780059665441513,0.0,0.0,-0.10000000000000002,-0.034375,-0.0703125,0.05438690334558486,0.15321617203219318,0.0,0.015625,0.0,,,
5.0,640.0,0.21875,-0.03338119536638261,0.0,0.0,-0.10000000000000002,-0.032812499999999994,-0.078125,-0.025568695366382607,0.19374842806841044,0.0,0.0390625,0.0,,,
6.0,768.0,0.0625,0.026673543453216556,0.0,0.0,-0.10000000000000002,-0.030078124999999997,-0.09375000000000001,-0.13465458154678345,0.20961707746478872,0.0,0.1875,0.0,,,
7.0,896.0,0.0546875,0.027209705114364626,0.0,0.0,-0.10000000000000002,-0.028906249999999998,-0.09453125000000001,-0.14154029488563538,0.21499308350100602,0.0,0.09375,0.0,,,
8.0,1024.0,0.0078125,0.010669419169425964,0.0,0.0,-0.10000000000000002,-0.030468749999999996,-0.09921875000000002,-0.21120558083057406,0.2191665618712273,0.0,0.09375,0.0,,,
9.0,1152.0,0.1328125,-0.003582654893398287,0.0,0.0,-0.10000000000000002,-0.032421874999999996,-0.08671875000000001,-0.0899107798933983,0.22666467555331993,0.0,0.0859375,0.0,,,
10.0,1280.0,0.0078125,0.0009152919054031372,0.0,0.0,-0.10000000000000002,-0.0296875,-0.09921875000000002,-0.22017845809459688,0.236803634305835,0.0,0.078125,0.0,,,
11.0,1408.0,0.3046875,-0.08101445138454437,0.0,0.0,-0.10000000000000002,-0.037890625,-0.06953125,0.01625117361545561,0.2590779049295775,0.0,0.03125,0.0,,,
12.0,1536.0,0.1953125,0.002588820457458496,0.0,0.0,-0.10000000000000002,-0.03828125,-0.08046875,-0.020848679542541514,0.2903121856136821,0.0,0.0,0.0,,,
13.0,1664.0,0.4453125,-0.1557788759469986,0.0,0.0,-0.10000000000000002,-0.037109375,-0.05546875,0.09695549905300138,0.33122170523138833,0.0,0.0,0.0,,,
14.0,1792.0,0.390625,-0.04709709286689759,0.0,0.0,-0.10000000000000002,-0.036328125,-0.06093749999999999,0.14626228213310238,0.385893485915493,0.0,0.0546875,0.0,,,
15.0,1920.0,0.109375,0.0062499985098838804,0.0,0.0,-0.10000000000000002,-0.0375,-0.0890625,-0.11093750149011614,0.41553225603621724,0.0,0.03125,0.0,,,
16.0,2048.0,0.328125,-0.03658470772206783,0.0,0.0,-0.10000000000000002,-0.03203125,-0.0671875,0.09232154227793214,0.27867989185110664,0.0,0.0546875,1.0,0.4476861167002012,0.0,2000.0
17.0,2176.0,0.3671875,-0.09122619777917862,0.0,0.0,-0.10000000000000002,-0.032812499999999994,-0.06328125,0.07986755222082137,0.04190769617706237,0.0,0.0390625,0.0,,,
18.0,2304.0,0.21875,-0.007544416189193728,0.0,0.0,-0.10000000000000002,-0.03359375,-0.078125,-0.0005131661891937308,0.07889524647887325,0.0,0.0078125,0.0,,,
19.0,2432.0,0.3359375,-0.06676238924264907,0.0,0.0,-0.10000000000000002,-0.03515625,-0.06640625,0.0676126107573509,0.1181463782696177,0.0,0.0,0.0,,,
20.0,2560.0,0.1171875,0.023548542708158492,0.0,0.0,-0.10000000000000002,-0.03359374999999999,-0.08828125,-0.08113895729184153,0.1442011443661972,0.0,0.0234375,0.0,,,
21.0,2688.0,0.4921875,-0.15227475240826605,0.0,0.0,-0.10000000000000002,-0.034765624999999994,-0.05078124999999999,0.15436587259173393,0.18655684104627768,0.0,0.03125,0.0,,,
22.0,2816.0,0.078125,0.03604854941368103,0.0,0.0,-0.10000000000000002,-0.030078124999999997,-0.0921875,-0.10809207558631898,0.22260123239436624,0.0,0.1171875,0.0,,,
23.0,2944.0,0.0859375,-0.019050614535808565,0.0,0.0,-0.10000000000000002,-0.034765624999999994,-0.09140625000000002,-0.15928498953580858,0.2280322560362173,0.0,0.0390625,0.0,,,
24.0,3072.0,0.0703125,0.032544417679309844,0.0,0.0,-0.10000000000000002,-0.032421875,-0.09296875000000002,-0.12253370732069016,0.2428241322937626,0.0,0.0625,0.0,,,
25.0,3200.0,0.0078125,0.003125,0.0,0.0,-0.10000000000000002,-0.029296874999999997,-0.09921875000000002,-0.217578125,0.24687185613682094,0.0,0.1796875,0.0,,,
26.0,3328.0,0.03125,0.007544420659542083,0.0,0.0,-0.10000000000000002,-0.027734375,-0.09687500000000002,-0.18581495434045792,0.2482394366197183,0.0,0.2109375,0.0,,,
27.0,3456.0,0.0,0.0,0.0,0.0,-0.10000000000000002,-0.027734375,-0.10000000000000002,-0.22773437500000004,0.2515090543259557,0.0,0.15625,0.0,,,
28.0,3584.0,0.0546875,0.034217960387468334,0.0,0.0,-0.10000000000000002,-0.033984375,-0.09453125000000001,-0.13961016461253167,0.25591832243460777,0.0,0.03125,0.0,,,
29.0,3712.0,0.109375,-0.0009152904152870192,0.0,0.0,-0.10000000000000002,-0.0359375,-0.08906250000000002,-0.11654029041528702,0.26541278923541256,0.0,0.0078125,0.0,,,
30.0,3840.0,0.171875,0.026294422149658207,0.0,0.0,-0.10000000000000002,-0.034374999999999996,-0.08281250000000001,-0.019018077850341805,0.2855649522132796,0.0,0.0234375,0.0,,,
31.0,3968.0,0.0,0.0,0.0,0.0,-0.10000000000000002,-0.032812499999999994,-0.10000000000000002,-0.2328125,0.29476861167002,0.0,0.125,0.0,,,
32.0,4096.0,0.4296875,-0.16881504170596598,0.0,0.0,-0.10000000000000002,-0.036718749999999994,-0.05703124999999999,0.06712245829403399,0.09430803571428571,0.0,0.0078125,1.0,0.2947686116700201,0.0,2000.0
33.0,4224.0,0.6171875,-0.3010454043745995,0.0,0.0,-0.10000000000000002,-0.0359375,-0.038281249999999996,0.14192334562540052,0.09617863430583501,0.0,0.0,0.0,,,
34.0,4352.0,0.421875,-0.13131505250930786,0.0,0.0,-0.10000000000000002,-0.03359374999999999,-0.05781249999999999,0.09915369749069211,0.1595274773641851,0.0,0.0390625,0.0,,,
35.0,4480.0,0.359375,-0.009375001490116115,0.0,0.0,-0.10000000000000002,-0.0359375,-0.0640625,0.14999999850988388,0.21327181841046278,0.0,0.0,0.0,,,
36.0,4608.0,0.1875,0.04542355537414551,0.0,0.0,-0.10000000000000002,-0.0375,-0.08125,0.014173555374145495,0.24685613682092555,0.0,0.0390625,0.0,,,
37.0,4736.0,0.1875,0.03300206512212753,0.0,0.0,-0.10000000000000002,-0.030468749999999996,-0.08125,0.008783315122127516,0.2759997484909456,0.0,0.140625,0.0,,,
38.0,4864.0,0.0390625,-0.011584702134132385,0.0,0.0,-0.10000000000000002,-0.033984375,-0.09609375000000002,-0.2026003271341324,0.2851483903420523,0.0,0.046875,0.0,,,
39.0,4992.0,0.0703125,0.022254130989313125,0.0,0.0,-0.10000000000000002,-0.034374999999999996,-0.09296875000000002,-0.1347771190106869,0.29786531690140844,0.0,0.0546875,0.0,,,
40.0,5120.0,0.15625,0.007544417679309842,0.0,0.0,-0.10000000000000002,-0.035546875,-0.084375,-0.05612745732069017,0.30728118712273644,0.0,0.0859375,0.0,,,
41.0,5248.0,0.25,-0.05746589377522468,0.0,0.0,-0.10000000000000002,-0.031640625,-0.075,-0.014106518775224685,0.3317168636820925,0.0,0.125,0.0,,,
42.0,5376.0,0.1171875,0.01204235851764679,0.0,0.0,-0.10000000000000002,-0.03203125,-0.08828125,-0.09108264148235323,0.35563380281690155,0.0,0.1015625,0.0,,,
43.0,5504.0,0.1484375,-0.003961773216724395,0.0,0.0,-0.10000000000000002,-0.0296875,-0.08515625000000002,-0.07036802321672445,0.3782224597585514,0.0,0.1484375,0.0,,,
44.0,5632.0,0.15625,0.0022097066044807403,0.0,0.0,-0.10000000000000002,-0.033203125,-0.084375,-0.05911841839551927,0.3943976358148893,0.0,0.03125,0.0,,,
45.0,5760.0,0.1171875,0.002209709584712982,0.0,0.0,-0.10000000000000002,-0.029687499999999995,-0.08828125,-0.09857154041528703,0.4101248113682092,0.0,0.09375,0.0,,,
46.0,5888.0,0.0,0.0,0.0,0.0,-0.10000000000000002,-0.033203125,-0.10000000000000002,-0.233203125,0.4205231388329978,0.0,0.046875,0.0,,,
47.0,6016.0,0.078125,-0.026294417306780817,0.0,0.0,-0.10000000000000002,-0.03203125,-0.0921875,-0.17238816730678083,0.3688223088531185,0.0,0.09375,1.0,0.42052313883299797,0.0,2000.0
48.0,6144.0,0.296875,-0.05921796262264251,0.0,0.0,-0.10000000000000002,-0.03359375,-0.0703125,0.03375078737735747,0.03792284959758551,0.0,0.0703125,0.0,,,
49.0,6272.0,0.2421875,-0.04229854643344879,0.0,0.0,-0.10000000000000002,-0.033984375,-0.07578125,-0.009876671433448801,0.06556526659959759,0.0,0.0625,0.0,,,
50.0,6400.0,0.5390625,-0.18885948061943053,0.0,0.0,-0.10000000000000002,-0.031249999999999997,-0.046093749999999996,0.1728592693805694,0.11581205985915494,0.0,0.0390625,0.0,,,
51.0,6528.0,0.390625,-0.11935120224952697,0.0,0.0,-0.10000000000000002,-0.0375,-0.06093749999999999,0.07283629775047298,0.17817844567404423,0.0,0.0,0.0,,,
52.0,6656.0,0.2421875,0.04191939234733581,0.0,0.0,-0.10000000000000002,-0.034765624999999994,-0.07578125,0.07356001734733579,0.21826270120724348,0.0,0.0390625,0.0,,,
53.0,6784.0,0.2265625,-0.033838813006877896,0.0,0.0,-0.10000000000000002,-0.032421874999999996,-0.07734375,-0.017041938006877897,0.24022258551307846,0.0,0.0078125,0.0,,,
54.0,6912.0,0.1875,0.013872936367988583,0.0,0.0,-0.10000000000000002,-0.028515624999999996,-0.08125,-0.008392688632011445,0.274765782193159,0.0,0.0859375,0.0,,,
55.0,7040.0,0.4609375,-0.12064563930034637,0.0,0.0,-0.10000000000000002,-0.034765624999999994,-0.05390624999999999,0.15161998569965363,0.3135296151911469,0.0,0.0546875,0.0,,,
56.0,7168.0,0.25,-0.022254121676087375,0.0,0.0,-0.10000000000000002,-0.0359375,-0.075,0.016808378323912604,0.3675018863179075,0.0,0.03125,0.0,,,
57.0,7296.0,0.09375,0.028961777687072754,0.0,0.0,-0.10000000000000002,-0.032421875,-0.09062500000000001,-0.10033509731292727,0.3848717303822937,0.0,0.078125,0.0,,,
58.0,7424.0,0.015625,0.009754125028848648,0.0,0.0,-0.10000000000000002,-0.037890625,-0.09843750000000001,-0.21094899997115135,0.3893281564386317,0.0,0.0234375,0.0,,,
59.0,7552.0,0.0859375,0.007165294885635377,0.0,0.0,-0.10000000000000002,-0.037109375,-0.09140625000000001,-0.13541283011436464,0.3927156690140844,0.0,0.015625,0.0,,,
60.0,7680.0,0.0546875,0.03071383610367775,0.0,0.0,-0.10000000000000002,-0.032812499999999994,-0.09453125000000001,-0.14194241389632226,0.405574069416499,0.0,0.109375,0.0,,,
61.0,7808.0,0.0234375,0.017834706604480745,0.0,0.0,-0.10000000000000002,-0.0359375,-0.09765625000000001,-0.19232154339551927,0.40981828470824944,0.0,0.015625,0.0,,,
62.0,7936.0,0.0078125,0.010669416189193726,0.0,0.0,-0.10000000000000002,-0.032812499999999994,-0.09921875000000002,-0.21354933381080632,0.41244341046277677,0.0,0.046875,0.0,,,
63.0,8064.0,0.21875,-0.09130473099648953,0.0,0.0,-0.10000000000000002,-0.0375,-0.078125,-0.08817973099648954,0.2147258551307847,0.0,0.0546875,1.0,0.41448692152917505,0.0,2000.0
64.0,8192.0,0.40625,-0.17010946273803712,0.0,0.0,-0.10000000000000002,-0.03828125,-0.05937499999999999,0.038484287261962874,0.05187374245472837,0.0,0.0,0.0,,,
65.0,8320.0,0.4140625,-0.10151652991771698,0.0,0.0,-0.10000000000000002,-0.037890625,-0.05859375,0.116061595082283,0.11033387826961769,0.0,0.015625,0.0,,,
66.0,8448.0,0.359375,-0.1032685860991478,0.0,0.0,-0.10000000000000002,-0.03515625,-0.0640625,0.05688766390085219,0.15723245724346077,0.0,0.03125,0.0,,,
67.0,8576.0,0.390625,-0.15319006592035295,0.0,0.0,-0.10000000000000002,-0.03515625,-0.06093749999999999,0.041341184079647035,0.19835418762575455,0.0,0.015625,0.0,,,
68.0,8704.0,0.1328125,0.062342962622642516,0.0,0.0,-0.10000000000000002,-0.034765624999999994,-0.08671875000000001,-0.026328912377357495,0.23933444416498992,0.0,0.03125,0.0,,,
69.0,8832.0,0.375,-0.06950822025537491,0.0,0.0,-0.10000000000000002,-0.0328125,-0.062499999999999986,0.11017927974462507,0.26645026408450706,0.0,0.0390625,0.0,,,
70.0,8960.0,0.15625,0.0067076474428176885,0.0,0.0,-0.10000000000000002,-0.037109375,-0.084375,-0.05852672755718232,0.30559136066398396,0.0,0.0078125,0.0,,,
71.0,9088.0,0.125,0.024999998509883877,0.0,0.0,-0.10000000000000002,-0.0359375,-0.08750000000000001,-0.07343750149011613,0.32529552313883303,0.0,0.0234375,0.0,,,
72.0,9216.0,0.1484375,-0.01767766773700714,0.0,0.0,-0.10000000000000002,-0.0375,-0.08515625,-0.09189641773700716,0.3419344190140845,0.0,0.0,0.0,,,
73.0,9344.0,0.203125,0.056092950701713565,0.0,0.0,-0.10000000000000002,-0.030468749999999996,-0.0796875,0.04906170070171355,0.36362707494969815,0.0,0.1171875,0.0,,,
74.0,9472.0,0.1875,0.016919428110122682,0.0,0.0,-0.10000000000000002,-0.034765624999999994,-0.08125,-0.011596196889877322,0.38760689134808857,0.0,0.0,0.0,,,
75.0,9600.0,0.1796875,0.050758260488510135,0.0,0.0,-0.10000000000000002,-0.03828125,-0.08203125,0.010133260488510123,0.4157444668008048,0.0,0.015625,0.0,,,
76.0,9728.0,0.03125,0.027588844299316406,0.0,0.0,-0.10000000000000002,-0.040625,-0.09687500000000002,-0.17866115570068358,0.4263392857142857,0.0,0.0,0.0,,,
77.0,9856.0,0.28125,-0.09351443946361541,0.0,0.0,-0.10000000000000002,-0.03828125,-0.071875,-0.022420689463615428,0.43957494969818917,0.0,0.015625,0.0,,,
78.0,9984.0,0.390625,-0.03338118866086007,0.0,0.0,-0.10000000000000002,-0.031640625,-0.06093749999999999,0.16466568633913992,0.4918259557344064,0.0,0.078125,0.0,,,
79.0,10112.0,0.46875,-0.15989771001040937,0.0,0.0,-0.10000000000000002,-0.033984375,-0.05312499999999999,0.12174291498959064,0.08972585513078472,0.0,0.015625,1.0,0.5251509054325956,0.0,2000.0
